,mean,number,ID
253,6.531388916962476,253,District 6
254,9.565123465016788,254,District 6
255,-24.73936271484203,255,District 6
256,18.765277890940325,256,District 6
257,29.056005178235,257,District 6
258,36.17927587276102,258,District 6
259,33.92052090560573,259,District 6
260,40.466775427364766,260,District 6
261,40.117845891735726,261,District 6
262,42.875606272240326,262,District 6
263,37.276945138518606,263,District 6
264,37.66087236050838,264,District 6
265,33.259865014011844,265,District 6
266,32.674369082024626,266,District 6
267,22.396475314359275,267,District 6
268,27.260775139968366,268,District 6
269,-11.419257726960236,269,District 6
270,4.49298432610791,270,District 6
271,-0.454476623680837,271,District 6
272,6.5674566815108975,272,District 6
273,8.004326186467159,273,District 6
274,-15.713240213160052,274,District 6
275,8.07733790915842,275,District 6
276,18.914688491443687,276,District 6
277,23.345819940305784,277,District 6
278,26.354600345794807,278,District 6
279,30.51875130523972,279,District 6
280,36.05026337059877,280,District 6
281,36.41693435367424,281,District 6
282,38.64310201922672,282,District 6
283,40.54473362591385,283,District 6
284,41.554272968120245,284,District 6
285,39.19182176065444,285,District 6
286,8.461310486796492,286,District 6
287,32.80429187617796,287,District 6
288,30.585053821050625,288,District 6
289,24.051279808220528,289,District 6
290,6.290017188751947,290,District 6
291,18.71937030439732,291,District 6
292,12.27898612946326,292,District 6
293,-8.423142665121356,293,District 6
294,-11.592177627919122,294,District 6
295,7.420553875255192,295,District 6
296,-18.895319863311485,296,District 6
297,-1.905080775782436,297,District 6
298,0.37087161595418966,298,District 6
299,12.494488106846312,299,District 6
300,18.251374034221687,300,District 6
301,26.866557942109445,301,District 6
302,31.092184429885023,302,District 6
303,33.74823856508232,303,District 6
304,36.502556903261606,304,District 6
305,37.93198147382223,305,District 6
306,41.16228229841641,306,District 6
307,39.09958357172969,307,District 6
308,36.75442510915413,308,District 6
309,36.14801368769664,309,District 6
310,33.31251628869595,310,District 6
311,15.6228456280795,311,District 6
312,9.13977069393212,312,District 6
313,20.842708895987684,313,District 6
314,-4.170202746961268,314,District 6
315,20.044350288970925,315,District 6
316,-14.3971529095721,316,District 6
317,13.854472682725747,317,District 6
318,-2.51604201163822,318,District 6
319,-14.158997299789464,319,District 6
320,-2.2927159500102374,320,District 6
321,7.3939484264337665,321,District 6
322,-9.492006478638595,322,District 6
