,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,bearing,lanes,ref,bridge,junction,width
108,265561604,265561603,0,842368638,False,امام هادی,secondary,50.0,59.034000000000006,"LINESTRING (59.5505551 36.3592171, 59.5504002 36.3591894, 59.5501646 36.3591473, 59.5499115 36.3591021)",257.5,,,,,
109,265561605,2563730934,0,590888191,False,خیابان امام هادی,secondary,50.0,9.246,"LINESTRING (59.5510991 36.3593142, 59.5509983 36.3592962)",257.5,,,,,
110,265561605,265561714,0,24433403,True,,secondary,50.0,33.113,"LINESTRING (59.5510991 36.3593142, 59.5512178 36.3592875, 59.5513095 36.3592212, 59.5513553 36.359129)",131.9,,,,,
111,265561714,265561719,0,958823764,True,میدان معراج,primary,30.0,113.531,"LINESTRING (59.5513553 36.359129, 59.5513065 36.3589508, 59.5513166 36.3587685, 59.551385 36.3585945, 59.5515069 36.3584407, 59.5516742 36.3583175, 59.551789 36.3582607)",158.1,,,,roundabout,
112,265561719,666065680,0,958823763,True,,tertiary,40.0,77.012,"LINESTRING (59.551789 36.3582607, 59.551864 36.3580467, 59.551852 36.3579686, 59.5518068 36.357879, 59.551559 36.357662)",197.2,,,,,
113,265561735,265561605,0,24433411,True,توس ۲۸,secondary,50.0,47.96,"LINESTRING (59.5516127 36.3594257, 59.5513986 36.3593534, 59.5510991 36.3593142)",254.9,,,,,
114,265561735,265561714,0,958823757,True,میدان معراج,primary,30.0,40.592,"LINESTRING (59.5516127 36.3594257, 59.5514598 36.359291, 59.5513553 36.359129)",214.9,,,,roundabout,
115,265561783,314760714,0,28638932,False,توس ۳۰,residential,30.0,185.966,"LINESTRING (59.5512803 36.361178, 59.5503282 36.3609959, 59.5492597 36.3607916)",256.6,,,,,
116,265561783,265561735,0,974231923,True,بولوار توس,primary,60.0,197.924,"LINESTRING (59.5512803 36.361178, 59.5514528 36.3604256, 59.5516132 36.3598234, 59.5516303 36.3595331, 59.5516127 36.3594257)",171.3,2,,,,
117,266185234,763459445,0,60982126,False,توس ۸۲,secondary,,110.285,"LINESTRING (59.5253675 36.386116, 59.5244177 36.3854843)",230.4,,,,,
118,266185234,763459476,0,981520404,True,بولوار توس,primary,60.0,198.022,"LINESTRING (59.5253675 36.386116, 59.5259984 36.3855651, 59.526427 36.385227, 59.5269354 36.3848619)",134.8,2,,,,
119,266185319,5524980212,0,614448079,False,توس ۹۲,residential,,137.407,"LINESTRING (59.5148518 36.3954682, 59.5141631 36.3943638)",206.7,,,,,
120,266185319,2182130591,0,266419953,True,بولوار توس,primary,60.0,268.885,"LINESTRING (59.5148518 36.3954682, 59.5166037 36.3938905, 59.5168538 36.3936653)",138.2,2,,,,
