,u,v,key,osmid,oneway,lanes,name,highway,maxspeed,length,geometry,bearing,junction,access,bridge
2633,650315309,268150967,0,51001554,False,,کوچه جلال آل احمد ۱۰,residential,30,154.267,"LINESTRING (59.5259887 36.3233074, 59.5243741 36.3237896)",290.3,,,
2634,650315309,650315315,0,712574896,True,2,بولوار جلال آل احمد,secondary,50,34.093,"LINESTRING (59.5259887 36.3233074, 59.5258506 36.3230217)",201.3,,,
2635,650315311,264161128,0,191060912,False,,کوچه جلال آل احمد ۵,residential,30,154.912,"LINESTRING (59.5256017 36.3221923, 59.5272042 36.321669)",112.1,,,
2636,650315311,650315317,0,352013074,True,2,بولوار جلال آل احمد,secondary,50,94.086,"LINESTRING (59.5256017 36.3221923, 59.5259759 36.3229829)",20.9,,,
2637,650315312,264161327,0,53590320,False,,کوچه جلال آل احمد ۶,residential,30,153.836,"LINESTRING (59.5254687 36.3222326, 59.5238505 36.3226954)",289.5,,,
2638,650315312,260354219,0,712574896,True,2,بولوار جلال آل احمد,secondary,50,174.542,"LINESTRING (59.5254687 36.3222326, 59.5252086 36.3216701, 59.5249142 36.3211289, 59.524768 36.3209095, 59.524682 36.3208001)",203.9,,,
2639,650315315,650315317,0,51001559,False,,,secondary_link,,12.026,"LINESTRING (59.5258506 36.3230217, 59.5259759 36.3229829)",111.0,,,
2640,650315315,650315312,0,712574896,True,2,بولوار جلال آل احمد,secondary,50,94.179,"LINESTRING (59.5258506 36.3230217, 59.5254687 36.3222326)",201.3,,,
2641,650315317,650315315,0,51001559,False,,,secondary_link,,12.026,"LINESTRING (59.5259759 36.3229829, 59.5258506 36.3230217)",291.0,,,
2642,650315317,4585943593,0,352013074,True,2,بولوار جلال آل احمد,secondary,50,34.673,"LINESTRING (59.5259759 36.3229829, 59.5261107 36.3232752)",20.4,,,
2643,650315319,268150969,0,191060780,False,,کوچه جلال آل احمد ۱۲,residential,30,145.958,"LINESTRING (59.5261516 36.3238552, 59.5246339 36.3243325)",291.3,,,
2644,658920255,650315309,0,712574896,True,2,بولوار جلال آل احمد,secondary,50,100.309,"LINESTRING (59.5263931 36.3241486, 59.5259887 36.3233074)",201.2,,,
2645,658920258,7344344160,0,51530277,True,,,secondary_link,,31.995,"LINESTRING (59.5265214 36.3241242, 59.5266845 36.3242015, 59.5268293 36.32427)",59.6,,,
2646,658920258,3288423226,0,352013074,True,2,بولوار جلال آل احمد,secondary,50,24.672,"LINESTRING (59.5265214 36.3241242, 59.5265822 36.3242473, 59.526584 36.3242509, 59.5266234 36.3243303)",21.7,,,
2647,658920263,3288423226,0,969484716,True,,بولوار فرهنگ,tertiary,40,12.094,"LINESTRING (59.5264965 36.3243674, 59.5266234 36.3243303)",109.9,,,
2648,658920263,658920255,0,969484715,True,2,بولوار جلال آل احمد,secondary,50,26.033,"LINESTRING (59.5264965 36.3243674, 59.5264589 36.3242877, 59.5263931 36.3241486)",200.8,,,
2649,658920264,658920265,0,51530280,True,,,secondary_link,,35.398,"LINESTRING (59.5266319 36.3246559, 59.5264751 36.3245924, 59.5262624 36.3245483)",250.1,,,
2650,658920264,260654955,0,969484715,True,2,بولوار جلال آل احمد,secondary,50,22.939,"LINESTRING (59.5266319 36.3246559, 59.5265779 36.3245467, 59.5265386 36.3244638)",201.4,,,
2651,658920265,268150971,0,386678099,True,,بولوار فرهنگ,tertiary,40,127.217,"LINESTRING (59.5262624 36.3245483, 59.5249371 36.3249592)",291.0,,,
2652,658920272,3288430088,0,386678098,True,,بولوار جلال آل احمد,secondary,50,134.375,"LINESTRING (59.5267514 36.3246236, 59.5272718 36.325757)",20.3,,,
2653,658920272,7344344159,0,51530279,True,,,secondary_link,,31.969,"LINESTRING (59.5267514 36.3246236, 59.526812 36.3245014, 59.5268862 36.3243574)",157.8,,,
2654,659567688,739525171,0,191239608,False,,پژوهش - وکیل آباد ۷۹,residential,30,28.762,"LINESTRING (59.4638148 36.3396201, 59.4639382 36.3398589)",22.6,,,
2655,659567688,417723147,0,387107504,True,,,secondary,40,67.806,"LINESTRING (59.4638148 36.3396201, 59.4634956 36.3396936, 59.4630706 36.3396895)",276.6,,,
2656,659567689,659567697,0,88833010,True,,,secondary,40,62.612,"LINESTRING (59.4686914 36.3379263, 59.468138 36.3382703)",307.7,,,
2657,659567689,417641113,0,381812639,True,3,بزرگراه وکیل آباد,trunk,80,372.907,"LINESTRING (59.4686914 36.3379263, 59.4658174 36.3388253, 59.4648193 36.339158)",291.5,,,
2658,659567695,659567707,0,88833795,True,,,secondary_link,,16.903,"LINESTRING (59.4689481 36.3382375, 59.4689729 36.3382052, 59.469013 36.3381851, 59.4690599 36.3381815, 59.469104 36.3381951)",108.7,,,
