,u,v,key,osmid,oneway,lanes,highway,maxspeed,length,bearing,name,bridge,geometry,width,ref,tunnel,junction
3623,2679309944,4474764917,0,75685126,False,,residential,30,13.469,245.8,حر ۵۶,,"LINESTRING (59.6873655 36.2600942, 59.6872285 36.2600445)",,,,
3624,2679309944,2679309946,0,75685126,False,,residential,30,12.079,68.2,حر ۵۶,,"LINESTRING (59.6873655 36.2600942, 59.6874906 36.2601345)",,,,
3625,2679309944,2639744356,0,60524236,False,,residential,30,32.521,313.9,شهید ثابتی,,"LINESTRING (59.6873655 36.2600942, 59.6873265 36.2601389, 59.6871053 36.2602962)",,,,
3626,2679309946,2679309944,0,75685126,False,,residential,30,12.079,248.2,حر ۵۶,,"LINESTRING (59.6874906 36.2601345, 59.6873655 36.2600942)",,,,
3627,2679309946,3802388016,0,75685126,False,,residential,30,60.242,94.1,حر ۵۶,,"LINESTRING (59.6874906 36.2601345, 59.6876518 36.260148, 59.6879158 36.26013, 59.6881096 36.260106, 59.6881428 36.2600994, 59.6881569 36.2600963)",,,,
3628,2679309946,2184576499,0,262266017,False,,residential,30,182.605,39.3,,,"LINESTRING (59.6874906 36.2601345, 59.6875323 36.2601905, 59.6880603 36.260688, 59.6886745 36.2612819, 59.6887794 36.2614043)",,,,
3629,2978946360,5322771068,0,208096093,False,,residential,30,73.629,122.8,بسیج ۴,,"LINESTRING (59.6562487 36.2683326, 59.6569392 36.2679741)",,,,
3630,2978946360,2430551883,0,851494727,True,2.0,secondary,50,45.506,23.2,,,"LINESTRING (59.6562487 36.2683326, 59.6564488 36.2687087)",,,,
3631,2978946364,2430551888,0,234935049,True,,secondary_link,,115.697,191.6,ورودی به بزرگراه بسیج,,"LINESTRING (59.6563085 36.2702721, 59.6563505 36.2701339, 59.6563534 36.269955, 59.6562902 36.2697559, 59.656055 36.2692784)",,,,
3632,3228847825,5299521467,0,24471850,True,,primary_link,,51.636,107.6,میدان عدالت,,"LINESTRING (59.6253928 36.2791925, 59.6257397 36.2791141, 59.6259412 36.2790519)",,,,
3633,3228847825,266039162,0,"[55423241, 55423250, 24471851]",True,,primary_link,,95.244,49.1,میدان عدالت,yes,"LINESTRING (59.6253928 36.2791925, 59.6255788 36.2792196, 59.6257389 36.2792821, 59.6258597 36.2793386, 59.6259435 36.2794127, 59.6260576 36.2795386, 59.626145 36.2797172)",,,,
3634,3228847828,3228847829,0,316727515,False,,residential,30,111.928,139.1,گوهری ۲,,"LINESTRING (59.6305566 36.2741844, 59.6313737 36.2734233)",,,,
3635,3228847828,267983399,0,745962555,False,,residential,30,48.713,48.5,مصلی ۷,,"LINESTRING (59.6305566 36.2741844, 59.6309639 36.2744744)",,,,
3636,3228847828,290975041,0,745962555,False,,residential,30,29.915,229.6,مصلی ۷,,"LINESTRING (59.6305566 36.2741844, 59.6303023 36.2740102)",,,,
3637,3228847829,3228847828,0,316727515,False,,residential,30,111.928,319.1,گوهری ۲,,"LINESTRING (59.6313737 36.2734233, 59.6305566 36.2741844)",,,,
3638,3703077043,3703077044,0,366331548,False,,primary_link,,13.355,27.9,,,"LINESTRING (59.6850286 36.2588848, 59.6850984 36.2589909)",,,,
3639,3703077043,264625102,0,71030467,True,,primary,60,430.973,116.5,بولوار حر,,"LINESTRING (59.6850286 36.2588848, 59.6855341 36.2586847, 59.6863808 36.2583496, 59.6869806 36.2581122, 59.6876402 36.2578389, 59.6883995 36.2575286, 59.6893304 36.257156)",,22.0,,
3640,3703077044,893476372,0,71030480,True,,primary,60,66.203,298.6,بولوار حر,,"LINESTRING (59.6850984 36.2589909, 59.68445 36.2592757)",,22.0,,
3641,3703077044,3703077043,0,366331548,False,,primary_link,,13.355,207.9,,,"LINESTRING (59.6850984 36.2589909, 59.6850286 36.2588848)",,,,
3642,3802387979,4474764911,0,"[450558221, 376860846]",False,,residential,30,200.53,20.5,حر ۶۸,,"LINESTRING (59.6889105 36.2575568, 59.6892943 36.257898, 59.6896628 36.2581787, 59.690011 36.2584297, 59.6898922 36.2585156, 59.6894794 36.2587858)",,,,
3643,3802387980,4474764911,0,376860845,False,,residential,30,147.305,37.4,حر ۶۶,,"LINESTRING (59.6884819 36.2577332, 59.6894794 36.2587858)",,,,
3644,3802387982,3802388003,0,376860844,False,,residential,30,198.217,35.2,حر ۶۴,,"LINESTRING (59.6879548 36.2579501, 59.6892285 36.2594071)",,,,
3645,3802387983,3802387987,0,376860843,False,,residential,30,65.579,33.8,حر ۶۲,,"LINESTRING (59.6876113 36.2580915, 59.6880187 36.2585813)",,,,
3646,3802387987,3802387983,0,376860843,False,,residential,30,65.579,213.9,حر ۶۲,,"LINESTRING (59.6880187 36.2585813, 59.6876113 36.2580915)",,,,
3647,3802387987,5701541098,0,376860833,False,,residential,30,69.013,347.5,,,"LINESTRING (59.6880187 36.2585813, 59.6878199 36.2586843, 59.6878431 36.2589178, 59.687817 36.2590334, 59.6878777 36.2590946)",,,,
3648,3802387987,3802388007,0,376860843,False,,residential,30,139.056,35.1,حر ۶۲,,"LINESTRING (59.6880187 36.2585813, 59.6883042 36.2589246, 59.6885786 36.2592482, 59.6889098 36.2596044)",,,,
3649,3802387989,5701541097,0,376860841,False,,residential,30,151.916,61.5,حر ۶۰,,"LINESTRING (59.6861587 36.2586893, 59.6865298 36.2588436, 59.6870336 36.2590698, 59.6874411 36.2592415, 59.6876476 36.2593407)",,,,
3650,3802387993,3802388008,0,376860840,False,,residential,30,188.44,67.7,حر ۵۸,,"LINESTRING (59.6855046 36.2589793, 59.6858352 36.2590964, 59.6863512 36.2592747, 59.6870598 36.259486, 59.6874488 36.2596214)",,,,
3651,3802387997,9283606293,0,208136562,False,,residential,30,71.645,124.5,,,"LINESTRING (59.6898126 36.2591373, 59.6904715 36.2587728)",,,,
3652,3802387997,4474764911,0,376860845,False,,residential,30,49.195,217.4,حر ۶۶,,"LINESTRING (59.6898126 36.2591373, 59.6894794 36.2587858)",,,,
3653,3802387997,3802388003,0,208136562,False,,residential,30,60.365,299.8,,,"LINESTRING (59.6898126 36.2591373, 59.6897738 36.259158, 59.6892285 36.2594071)",,,,
