,Mean NDVI,number,ID
201,0.0411816899942438,201,District 6
202,0.0362864396689474,202,District 6
203,0.0382208971570966,203,District 6
204,0.0403147488897486,204,District 6
205,0.0439553916934311,205,District 6
206,0.0481070014013236,206,District 6
207,0.0468193311826576,207,District 6
208,0.0472731119072406,208,District 6
209,0.0375930665137375,209,District 6
210,0.014752098010091,210,District 6
211,-0.0525469307134774,211,District 6
212,0.00219934173536,212,District 6
213,0.0127876662163512,213,District 6
214,0.029387413542690696,214,District 6
215,0.0262733078825174,215,District 10
216,0.0265281051775413,216,District 10
217,-0.0145800016198632,217,District 10
218,-0.0132720010454248,218,District 10
219,0.0048030187621558,219,District 10
220,0.0044719884203879,220,District 10
221,,221,District 10
222,0.0198383567891874,222,District 10
223,0.0191418327717816,223,District 10
224,0.0229381166015169,224,District 10
225,0.0219837665746179,225,District 10
226,0.0236329107231861,226,District 10
227,0.0235841915139208,227,District 10
228,0.023300400267729896,228,District 10
229,0.0291661369487251,229,District 10
230,0.0292387790822255,230,District 10
231,0.021893134324517696,231,District 10
232,0.0157460530393749,232,District 10
233,,233,District 10
234,,234,District 10
235,0.026151489049907,235,District 10
236,-0.0071954454931921,236,District 10
237,-0.0239872115663571,237,District 10
238,0.0041425603333766,238,District 10
239,,239,District 10
240,0.000480481821171034,240,District 10
241,0.0213476855597995,241,District 10
242,-0.006004723254089,242,District 10
243,0.0242164355169317,243,District 10
244,0.019904296344284,244,District 10
245,0.009392045059033901,245,District 10
246,0.025763496154691496,246,District 10
247,0.0266383773477316,247,District 10
248,0.0276282202365032,248,District 10
249,0.020768765219638,249,District 10
250,0.0192880621835452,250,District 10
251,0.0207385010430207,251,District 10
252,,252,District 10
253,-0.0050012079245489,253,District 10
254,0.006129534920132,254,District 10
255,0.009129070155386701,255,District 10
256,0.0180895006098313,256,District 10
257,0.007303630207412701,257,District 10
258,-0.007385788199424499,258,District 10
259,,259,District 10
260,0.0028968304093379,260,District 10
261,0.0057381173439835,261,District 10
262,,262,District 10
263,0.016280499287572,263,District 10
264,0.0251831695052014,264,District 10
265,0.0275015191168174,265,District 10
266,0.030299772417779296,266,District 10
267,0.030396672160500095,267,District 10
268,0.0309669521886878,268,District 10
269,0.0314836994080274,269,District 10
270,0.029122244290281697,270,District 10
271,0.0262652957948366,271,District 10
272,0.0290857969616048,272,District 10
273,0.0275668869658286,273,District 10
274,0.0221529897511968,274,District 10
275,0.0250589256935731,275,District 10
276,0.0903679400630335,276,District 10
277,-0.0004374973639427669,277,District 10
278,0.0258213279545693,278,District 10
279,0.007615808295270301,279,District 10
280,0.0107906038175732,280,District 10
