,u,v,key,osmid,oneway,name,highway,maxspeed,length,geometry,bearing,junction,lanes,width
1295,276919222,276919223,0,"[530946017, 530946012]",False,"['بزرگمهر جنوبی ۱۰', 'کوشا ۹']",residential,30,155.49,"LINESTRING (59.5502871 36.3124688, 59.5496751 36.3128716, 59.5489431 36.3133534)",309.2,,,
1296,276919223,270169614,0,25409300,False,کوشا,residential,30,64.991,"LINESTRING (59.5489431 36.3133534, 59.5494019 36.3138061)",39.2,,,
1297,276919223,276919047,0,25409300,False,کوشا,residential,30,58.411,"LINESTRING (59.5489431 36.3133534, 59.5485308 36.3129465)",219.2,,,
1298,276919223,276919222,0,"[530946017, 530946012]",False,"['بزرگمهر جنوبی ۱۰', 'کوشا ۹']",residential,30,155.49,"LINESTRING (59.5489431 36.3133534, 59.5496751 36.3128716, 59.5502871 36.3124688)",129.2,,,
1299,276919223,276919224,0,"[530946018, 530946039]",False,"['کوشا ۱۰', 'گویا ۹']",residential,30,135.96699999999998,"LINESTRING (59.5489431 36.3133534, 59.5483577 36.3137387, 59.5477679 36.314127)",309.2,,,
1300,276919224,270169215,0,24863131,False,گویا,residential,30,63.69,"LINESTRING (59.5477679 36.314127, 59.5482203 36.3145688)",39.5,,,
1301,276919224,276919048,0,24863131,False,گویا,residential,30,58.362,"LINESTRING (59.5477679 36.314127, 59.5473586 36.3137187)",218.9,,,
1302,276919224,270169640,0,"[530946025, 530946030]",False,"['گویا ۱۰', 'مرجان ۹']",residential,30,154.043,"LINESTRING (59.5477679 36.314127, 59.5471252 36.3145499, 59.5464363 36.3150033)",309.2,,,
1303,276919224,276919223,0,"[530946018, 530946039]",False,"['کوشا ۱۰', 'گویا ۹']",residential,30,135.96699999999998,"LINESTRING (59.5477679 36.314127, 59.5483577 36.3137387, 59.5489431 36.3133534)",129.2,,,
1304,276919306,276919134,0,25409300,False,کوشا,residential,30,65.07,"LINESTRING (59.5467923 36.3112343, 59.5468217 36.3112659, 59.5472536 36.3116862)",39.4,,,
1305,276919312,276919313,0,25409303,False,کمال الملک,residential,30,66.675,"LINESTRING (59.5511321 36.3083468, 59.5512018 36.308404, 59.5516073 36.3088078)",39.7,,,
1306,276919313,276919314,0,25409303,False,کمال الملک,residential,30,61.048,"LINESTRING (59.5516073 36.3088078, 59.5520395 36.3092322)",39.4,,,
1307,276919313,276919496,0,25409343,False,کمال الملک ۲,residential,30,175.18,"LINESTRING (59.5516073 36.3088078, 59.5500961 36.3098073)",309.4,,,
1308,276919313,276919312,0,25409303,False,کمال الملک,residential,30,66.675,"LINESTRING (59.5516073 36.3088078, 59.5512018 36.308404, 59.5511321 36.3083468)",219.7,,,
1309,276919314,276919315,0,25409303,False,کمال الملک,residential,30,59.337,"LINESTRING (59.5520395 36.3092322, 59.5524596 36.3096447)",39.4,,,
1310,276919314,276919313,0,25409303,False,کمال الملک,residential,30,61.048,"LINESTRING (59.5520395 36.3092322, 59.5516073 36.3088078)",219.4,,,
1311,276919314,276919498,0,25409342,False,کمال الملک ۴,residential,30,175.179,"LINESTRING (59.5520395 36.3092322, 59.5505283 36.3102317)",309.4,,,
1312,276919314,264661055,0,536842029,True,خیام جنوبی ۴,residential,30,144.71,"LINESTRING (59.5520395 36.3092322, 59.5532879 36.3084066)",129.4,,,
1313,276919315,276919316,0,25409303,False,کمال الملک,residential,30,59.914,"LINESTRING (59.5524596 36.3096447, 59.5528838 36.3100612)",39.4,,,
1314,276919315,276919314,0,25409303,False,کمال الملک,residential,30,59.337,"LINESTRING (59.5524596 36.3096447, 59.5520395 36.3092322)",219.4,,,
1315,276919315,276919499,0,25409341,False,کمال الملک ۶,residential,30,175.172,"LINESTRING (59.5524596 36.3096447, 59.5509484 36.3106441)",309.4,,,
1316,276919315,276919504,0,536842031,True,خیام جنوبی ۶,residential,30,145.805,"LINESTRING (59.5524596 36.3096447, 59.5537174 36.3088128)",129.4,,,
1317,276919316,276919315,0,25409303,False,کمال الملک,residential,30,59.914,"LINESTRING (59.5528838 36.3100612, 59.5524596 36.3096447)",219.4,,,
1318,276919316,276919499,0,"[536842033, 25409337]",False,"['پویا', 'کمال الملک ۸']",residential,30,235.084,"LINESTRING (59.5528838 36.3100612, 59.5513726 36.3110606, 59.5509484 36.3106441)",290.5,,,
